Date,Price,Open,High,Low,Change %,,,,,,,
7/1/2021,555.62,555.62,557.69,554.72,-0.37,,,,,,,
6/30/2021,557.69,557.69,557.69,549.61,1.33,,,,,,,
6/29/2021,550.36,550.36,556.5,550.36,-1.04,,,,,,,
6/28/2021,556.14,556.14,556.34,551.78,0.02,,,,,,,
6/25/2021,556.03,556.03,558.24,554.54,0.27,,,,,,,
6/24/2021,554.54,554.54,558.39,550.18,0.79,,,,,,,
6/23/2021,550.18,550.18,557.96,548.83,-0.01,,,,,,,
6/22/2021,550.21,550.21,558.94,550.21,-1.37,,,,,,,
6/21/2021,557.84,557.84,557.84,551.89,1.08,,,,,,,
6/18/2021,551.89,551.89,551.89,548.58,0.21,,,,,,,
6/17/2021,550.74,550.74,551.32,548,0.5,,,,,,,
6/16/2021,548,548,549.99,546.9,0.11,,,,,,,
6/15/2021,547.41,547.41,551.1,543.97,0.5,,,,,,,
6/14/2021,544.7,544.7,547.44,541.86,0.41,,,,,,,
6/11/2021,542.48,542.48,545.6,541.56,0.17,,,,,,,
6/10/2021,541.56,541.56,542.53,536.83,0.64,,,,,,,
6/9/2021,538.12,538.12,538.74,533.55,0.55,,,,,,,
6/8/2021,535.17,535.17,538.93,535.17,-0.19,,,,,,,
6/7/2021,536.2,536.2,541.23,536.2,-0.82,,,,,,,
6/4/2021,540.64,540.64,541.89,538.33,-0.12,,,,,,,
6/3/2021,541.27,541.27,542.08,534.77,1.22,,,,,,,
6/2/2021,534.77,534.77,535.18,529.43,0.97,,,,,,,
6/1/2021,529.62,529.62,529.91,525.89,0.38,,,,,,,
5/31/2021,527.61,527.61,528.87,526.06,-0.19,,,,,,,
5/28/2021,528.59,528.59,531.57,527.46,-0.56,,,,,,,
5/27/2021,531.57,531.57,533.38,530.15,-0.06,,,,,,,
5/26/2021,531.89,531.89,533.64,529.75,-0.12,,,,,,,
5/25/2021,532.52,532.52,534.56,531.27,-0.29,,,,,,,
5/21/2021,534.08,534.08,534.08,524.3,1.84,,,,,,,
5/20/2021,524.43,524.43,525.61,521.9,-0.01,,,,,,,
5/19/2021,524.5,524.5,525.36,519.93,0.88,,,,,,,
5/18/2021,519.93,519.93,521.64,519.54,-0.2,,,,,,,
5/17/2021,520.95,520.95,524.33,517.44,-0.28,,,,,,,
5/14/2021,522.39,522.39,522.39,517.97,0.48,,,,,,,
5/13/2021,519.91,519.91,519.91,515.85,0.43,,,,,,,
5/12/2021,517.68,517.68,518.46,514.52,0.45,,,,,,,
5/11/2021,515.34,515.34,520.74,514.37,-0.87,,,,,,,
5/10/2021,519.87,519.87,520.63,517.25,0.35,,,,,,,
5/7/2021,518.05,518.05,522.74,516.63,-0.9,,,,,,,
5/5/2021,522.74,522.74,523.47,521.76,0.07,,,,,,,
4/29/2021,522.39,522.39,524.72,520.1,-0.3,,,,,,,
4/28/2021,523.94,523.94,523.94,519.91,0.29,,,,,,,
4/27/2021,522.41,522.41,523.84,519.48,0.49,,,,,,,
4/26/2021,519.88,519.88,522.27,519.4,-0.01,,,,,,,
4/23/2021,519.93,519.93,519.93,517.12,0.14,,,,,,,
4/22/2021,519.18,519.18,521.7,518.57,-0.48,,,,,,,
4/21/2021,521.7,521.7,522.55,518.84,0.03,,,,,,,
4/20/2021,521.54,521.54,523.56,520.57,0.19,,,,,,,
4/19/2021,520.57,520.57,521.48,513.57,1.35,,,,,,,
4/16/2021,513.66,513.66,516.12,513.09,-0.12,,,,,,,
4/15/2021,514.3,514.3,514.3,505.75,1.58,,,,,,,
4/14/2021,506.32,506.32,508.53,504.5,-0.04,,,,,,,
4/13/2021,506.5,506.5,509.94,504.98,-0.27,,,,,,,
4/12/2021,507.86,507.86,508.23,502.32,0.71,,,,,,,
4/9/2021,504.28,504.28,509.7,503.1,-0.86,,,,,,,
4/8/2021,508.66,508.66,509.03,502.44,0.97,,,,,,,
4/7/2021,503.78,503.78,505.09,500.88,0.45,,,,,,,
4/6/2021,501.51,501.51,501.58,497.43,0.31,,,,,,,
4/1/2021,499.98,499.98,502.37,499.11,-0.46,,,,,,,
