category,name,ingredient_direction,quantity,unit,ingredient,note
New Era Drinks,French Martini,15 ml Fresh Pineapple Juice,15,ml,Fresh Pineapple Juice,
New Era Drinks,Illegal,30 ml Espadin Mezcal,30,ml,Espadin Mezcal,
New Era Drinks,Illegal,15 ml Jamaica Overproof White Rum,15,ml,Jamaica Overproof White Rum,
New Era Drinks,Illegal,15 ml Falernum,15,ml,Falernum,
New Era Drinks,Illegal,1 Bar Spoon Maraschino Luxardo,1,bar spoon,Maraschino Luxardo,
New Era Drinks,Illegal,22.5 ml Fresh Lime Juice,22.5,ml,Fresh Lime Juice,
New Era Drinks,Illegal,15 ml Simple Syrup,15,ml,Simple Syrup,
New Era Drinks,Illegal,Few Drops of Egg White (Optional),few,drops,Egg White,Optional
New Era Drinks,Lemon drop Martini,30 ml Vodka Citron,30,ml,Vodka Citron,
New Era Drinks,Lemon drop Martini,20 ml Triple Sec,20,ml,Triple Sec,
New Era Drinks,Lemon drop Martini,15 ml Fresh Lemon Juice,15,ml,Fresh Lemon Juice,
New Era Drinks,Naked and Famous,22.5 ml Mezcal,22.5,ml,Mezcal,
New Era Drinks,Naked and Famous,22.5 ml Yellow Chartreuse,22.5,ml,Yellow Chartreuse,
New Era Drinks,Naked and Famous,22.5 ml Aperol,22.5,ml,Aperol,
New Era Drinks,Naked and Famous,22.5 ml Fresh Lime Juice,22.5,ml,Fresh Lime Juice,
New Era Drinks,New York Sour,60 ml Rye Whiskey or Bourbon,60,ml,Rye Whiskey or Bourbon,
New Era Drinks,New York Sour,22.5 ml Simple syrup,22.5,ml,Simple syrup,
New Era Drinks,New York Sour,30 ml Fresh lemon juice,30,ml,Fresh lemon juice,
New Era Drinks,New York Sour,Few Drops of Egg White,few,drops,Egg White,
New Era Drinks,New York Sour,15 ml Red wine (Shiraz or Malbech),15,ml,Red wine,Shiraz or Malbech
New Era Drinks,Old Cuban,6/8 pcs Mint Leaves,6-8,piece,Mint Leaves,
New Era Drinks,Old Cuban,45 ml Aged Rum,45,ml,Aged Rum,
New Era Drinks,Old Cuban,22.5 ml Fresh Lime Juice,22.5,ml,Fresh Lime Juice,
New Era Drinks,Old Cuban,30 ml Simple Syrup,30,ml,Simple Syrup,
New Era Drinks,Old Cuban,2 Dashes Angostura Bitters,2,dash,Angostura Bitters,
New Era Drinks,Old Cuban,60 ml Brut Champagne or Prosecco,60,ml,Brut Champagne or Prosecco,
New Era Drinks,Paloma,50 ml 100% Agave Tequila,50,ml,100% Agave Tequila,
New Era Drinks,Paloma,5 ml Fresh lime,5,ml,Fresh lime,
New Era Drinks,Paloma,A pinch of Salt,1,pinch,Salt,
New Era Drinks,Paloma,100 ml Pink Grapefruit Soda,100,ml,Pink Grapefruit Soda,
New Era Drinks,Paper Plane,30 ml Bourbon Whiskey,30,ml,Bourbon Whiskey,
New Era Drinks,Paper Plane,30 ml Amaro Nonino,30,ml,Amaro Nonino,
New Era Drinks,Paper Plane,30 ml Aperol,30,ml,Aperol,
New Era Drinks,Paper Plane,30 ml Fresh Lemon Juice,30,ml,Fresh Lemon Juice,
New Era Drinks,Penicillin,60 ml Blended Scotch Whisky,60,ml,Blended Scotch Whisky,
New Era Drinks,Penicillin,7.5 ml Lagavulin 16 y Whisky,7.5,ml,Lagavulin 16 y Whisky,
New Era Drinks,Penicillin,22.5 ml Fresh Lemon Juice,22.5,ml,Fresh Lemon Juice,
New Era Drinks,Penicillin,22.5 ml Honey Syrup,22.5,ml,Honey Syrup,
New Era Drinks,Penicillin,2-3 quarter size Sliced Fresh Ginger,2-3,piece,quarter size Sliced Fresh Ginger,
New Era Drinks,Russian Spring Punch,25 ml Vodka,25,ml,Vodka,
New Era Drinks,Russian Spring Punch,25 ml Fresh Lemon Juice,25,ml,Fresh Lemon Juice,
New Era Drinks,Russian Spring Punch,15 ml Crème de Cassis,15,ml,Crème de Cassis,
New Era Drinks,Russian Spring Punch,10 ml Sugar syrup,10,ml,Sugar syrup,
New Era Drinks,Russian Spring Punch,Top up Sparkling wine,1,top up,Sparkling wine,
New Era Drinks,Southside,60 ml London Dry Gin,60,ml,London Dry Gin,
New Era Drinks,Southside,30 ml Fresh Lemon Juice,30,ml,Fresh Lemon Juice,
New Era Drinks,Southside,15 ml Simple Syrup,15,ml,Simple Syrup,
New Era Drinks,Southside,5/6 Mint Leaves,5-6,piece,Mint Leaves,
New Era Drinks,Southside,Few Drops of Egg White (Optional),few,drops,Egg White,Optional
New Era Drinks,Spicy Fifty,50 ml Vodka Vanilla,50,ml,Vodka Vanilla,
New Era Drinks,Spicy Fifty,15 ml Elderflower Cordial,15,ml,Elderflower Cordial,
New Era Drinks,Spicy Fifty,15 ml Fresh Lime Juice,15,ml,Fresh Lime Juice,
New Era Drinks,Spicy Fifty,10 ml Monin Honey Syrup,10,ml,Monin Honey Syrup,
New Era Drinks,Spicy Fifty,2 thin Slices Red Chili Pepper,2,piece,thin Slices Red Chili Pepper,
New Era Drinks,Spritz,90 ml Prosecco,90,ml,Prosecco,
New Era Drinks,Spritz,60 ml Aperol,60,ml,Aperol,
New Era Drinks,Spritz,Splash of Soda water,1,splash,Soda water,
New Era Drinks,Suffering Bastard,30 ml Cognac or Brandy,30,ml,Cognac or Brandy,
New Era Drinks,Suffering Bastard,30 ml Gin,30,ml,Gin,
New Era Drinks,Suffering Bastard,15 ml Fresh Lime Juice,15,ml,Fresh Lime Juice,
New Era Drinks,Suffering Bastard,2 Dashes Angostura Bitters,2,dash,Angostura Bitters,
New Era Drinks,Suffering Bastard,Top up Ginger beer,1,top up,Ginger beer,
New Era Drinks,Tipperary,50 ml Irish Whiskey,50,ml,Irish Whiskey,
New Era Drinks,Tipperary,25 ml Sweet Red Vermouth,25,ml,Sweet Red Vermouth,
New Era Drinks,Tipperary,15 ml Green Chartreuse,15,ml,Green Chartreuse,
New Era Drinks,Tipperary,2 Dashes Angostura Bitters,2,dash,Angostura Bitters,
New Era Drinks,Tommy's Margarita,60 ml Tequila Agave 100% Reposado,60,ml,Tequila Agave 100% Reposado,
New Era Drinks,Tommy's Margarita,30 ml Fresh Lime Juice (Persiano),30,ml,Fresh Lime Juice,Persiano
New Era Drinks,Tommy's Margarita,30 ml Agave Syrup (1/2 Water + 1/2 Agave Nectar),30,ml,Agave Syrup,1/2 Water + 1/2 Agave Nectar
New Era Drinks,Trinidad Sour,45 ml Angostura Bitters,45,ml,Angostura Bitters,
New Era Drinks,Trinidad Sour,30 ml Orgeat Syrup,30,ml,Orgeat Syrup,
New Era Drinks,Trinidad Sour,22.5 ml Fresh Lemon Juice,22.5,ml,Fresh Lemon Juice,
New Era Drinks,Trinidad Sour,15 ml Rye Whisky,15,ml,Rye Whisky,
New Era Drinks,VE.N.TO,45 ml White Smooth Grappa,45,ml,White Smooth Grappa,
New Era Drinks,VE.N.TO,22.5 ml Fresh lemon Juice,22.5,ml,Fresh lemon Juice,
New Era Drinks,VE.N.TO,15 ml Honey mix (replace water with chamomile),15,ml,Honey mix,replace water with chamomile
New Era Drinks,VE.N.TO,15 ml Chamomile cordial,15,ml,Chamomile cordial,
New Era Drinks,VE.N.TO,10 ml Egg White (Optional),10,ml,Egg White,Optional
New Era Drinks,Yellow Bird,30 ml White rum,30,ml,White rum,
New Era Drinks,Yellow Bird,15 ml Galliano,15,ml,Galliano,
New Era Drinks,Yellow Bird,15 ml Triple Sec,15,ml,Triple Sec,
New Era Drinks,Yellow Bird,15 ml Fresh Lime Juice,15,ml,Fresh Lime Juice,
The Unforgettables,Alexander,30 ml Cognac,30,ml,Cognac,
The Unforgettables,Alexander,30 ml Crème de Cacao (Brown),30,ml,Crème de Cacao,Brown
The Unforgettables,Alexander,30 ml Fresh Cream,30,ml,Fresh Cream,
The Unforgettables,Americano,30 ml Bitter Campari,30,ml,Bitter Campari,
The Unforgettables,Americano,30 ml Sweet Red Vermouth,30,ml,Sweet Red Vermouth,
The Unforgettables,Americano,A splash of Soda Water,1,splash,Soda Water,
The Unforgettables,Angel Face,30 ml Gin,30,ml,Gin,
The Unforgettables,Angel Face,30 ml Apricot Brandy,30,ml,Apricot Brandy,
The Unforgettables,Angel Face,30 ml Calvados,30,ml,Calvados,
The Unforgettables,Aviation,45 ml Gin,45,ml,Gin,
The Unforgettables,Aviation,15 ml Maraschino Luxardo,15,ml,Maraschino Luxardo,
The Unforgettables,Aviation,15 ml Fresh Lemon Juice,15,ml,Fresh Lemon Juice,
The Unforgettables,Aviation,1 Bar Spoon Crème de Violette,1,bar spoon,Crème de Violette,
The Unforgettables,Between the Sheets,30 ml White Rum,30,ml,White Rum,
The Unforgettables,Between the Sheets,30 ml Cognac,30,ml,Cognac,
The Unforgettables,Between the Sheets,30 ml Triple Sec,30,ml,Triple Sec,
The Unforgettables,Between the Sheets,20 ml Fresh Lemon Juice,20,ml,Fresh Lemon Juice,
The Unforgettables,Boulevardier,45 ml Bourbon or Rye Whiskey,45,ml,Bourbon or Rye Whiskey,
The Unforgettables,Boulevardier,30 ml Bitter Campari,30,ml,Bitter Campari,
The Unforgettables,Boulevardier,30 ml Sweet Red Vermouth,30,ml,Sweet Red Vermouth,
The Unforgettables,Brandy Crusta,52.5 ml Brandy,52.5,ml,Brandy,
The Unforgettables,Brandy Crusta,7.5 ml Maraschino Luxardo,7.5,ml,Maraschino Luxardo,
The Unforgettables,Brandy Crusta,1 Bar Spoon Curacao,1,bar spoon,Curacao,
The Unforgettables,Brandy Crusta,15 ml Fresh Lemon Juice,15,ml,Fresh Lemon Juice,
The Unforgettables,Brandy Crusta,1 Bar Spoon Simple Syrup,1,bar spoon,Simple Syrup,
The Unforgettables,Brandy Crusta,2 Dashes Aromatic Bitters,2,dash,Aromatic Bitters,
The Unforgettables,Casino,40 ml Old Tom Gin,40,ml,Old Tom Gin,
The Unforgettables,Casino,10 ml Maraschino Luxardo,10,ml,Maraschino Luxardo,
The Unforgettables,Casino,10 ml Fresh Lemon Juice,10,ml,Fresh Lemon Juice,
The Unforgettables,Casino,2 Dashes Orange Bitters,2,dash,Orange Bitters,
The Unforgettables,Clover Club,45 ml Gin,45,ml,Gin,
The Unforgettables,Clover Club,15 ml Raspberry Syrup,15,ml,Raspberry Syrup,
The Unforgettables,Clover Club,15 ml Fresh Lemon Juice,15,ml,Fresh Lemon Juice,
The Unforgettables,Clover Club,Few Drops of Egg White,few,drops,Egg White,
The Unforgettables,Daiquiri,60 ml White Cuban Ron,60,ml,White Cuban Ron,
The Unforgettables,Daiquiri,20 ml Fresh Lime Juice,20,ml,Fresh Lime Juice,
The Unforgettables,Daiquiri,2 Bar Spoons Superfine Sugar,2,bar spoon,Superfine Sugar,
The Unforgettables,Dry Martini,60 ml Gin,60,ml,Gin,
